tweet,class
You are a disgrace to society.,0
"Get lost, no one cares about your opinion.",1
I enjoy reading books in my free time.,2
You are a disgrace to society.,0
Python is a great programming language.,2
Going for a walk in the park is refreshing.,2
That's the dumbest thing I've ever heard.,1
I love watching football on weekends.,2
That's the dumbest thing I've ever heard.,1
People like you should not be allowed here.,0
I enjoy reading books in my free time.,2
I enjoy reading books in my free time.,2
Python is a great programming language.,2
Go back to where you came from!,0
You are a disgrace to society.,0
"Get lost, no one cares about your opinion.",1
I love watching football on weekends.,2
You are a disgrace to society.,0
That's the dumbest thing I've ever heard.,1
"You really have no clue, do you?",1
This group is ruining everything.,0
I enjoy reading books in my free time.,2
What kind of idiot says that?,1
The weather is nice today.,2
What kind of idiot says that?,1
I enjoy reading books in my free time.,2
They should all be banned from our country.,0
Go back to where you came from!,0
People like you should not be allowed here.,0
I love watching football on weekends.,2
Stop acting like a fool.,1
They should all be banned from our country.,0
Stop acting like a fool.,1
I enjoy reading books in my free time.,2
Stop acting like a fool.,1
That's the dumbest thing I've ever heard.,1
I love watching football on weekends.,2
They should all be banned from our country.,0
Going for a walk in the park is refreshing.,2
People like you should not be allowed here.,0
Python is a great programming language.,2
I enjoy reading books in my free time.,2
"You really have no clue, do you?",1
Python is a great programming language.,2
"You really have no clue, do you?",1
They should all be banned from our country.,0
The weather is nice today.,2
I love watching football on weekends.,2
Stop acting like a fool.,1
Go back to where you came from!,0
That's the dumbest thing I've ever heard.,1
Stop acting like a fool.,1
The weather is nice today.,2
Going for a walk in the park is refreshing.,2
This group is ruining everything.,0
They should all be banned from our country.,0
That's the dumbest thing I've ever heard.,1
I love watching football on weekends.,2
"Get lost, no one cares about your opinion.",1
"Get lost, no one cares about your opinion.",1
People like you should not be allowed here.,0
I enjoy reading books in my free time.,2
The weather is nice today.,2
What kind of idiot says that?,1
Going for a walk in the park is refreshing.,2
I love watching football on weekends.,2
You are a disgrace to society.,0
Going for a walk in the park is refreshing.,2
I love watching football on weekends.,2
This group is ruining everything.,0
Go back to where you came from!,0
Python is a great programming language.,2
Python is a great programming language.,2
You are a disgrace to society.,0
I enjoy reading books in my free time.,2
"You really have no clue, do you?",1
They should all be banned from our country.,0
That's the dumbest thing I've ever heard.,1
Go back to where you came from!,0
I enjoy reading books in my free time.,2
People like you should not be allowed here.,0
This group is ruining everything.,0
That's the dumbest thing I've ever heard.,1
"You really have no clue, do you?",1
"You really have no clue, do you?",1
"Get lost, no one cares about your opinion.",1
What kind of idiot says that?,1
This group is ruining everything.,0
Python is a great programming language.,2
I love watching football on weekends.,2
